chapter,section,axiom_number,fol,english
24,24.1,(24.8),(forall (a e e1 t1) (if (and (predict' e1 a e)(atTime e1 t1)) (iff (invalidated e1) (forall (t2) (if (not (before t2 t1))(not (atTime e t2))))))),"If it does not happen at some future time, the prediction is invalidated"
24,24.1,(24.9),(forall (a e e1) (iff (explain a e e1) (exists (e2) (and (thinkThat a e2)(cause' e2 e1 e))))),To explain an eventuality is to think that some specific eventuality caused it
24,24.1,(24.10),(forall (a e e1 e2 e3 e4 e5) (if (and (believe a e3)(cause' e3 e1 e) (believe a e4)(cause' e4 e2 e)(thinkOf' e5 a e)(etc)) (exists (e6 e7) (and (thinkOf' e6 a e7)(or' e7 e1 e2)(cause e5 e6))))),"If agent a believes e1 can cause e and e2 can cause e, and a thinks of e, then that will defeasibly cause a to think of the disjunction of e1 and e2"
24,24.1,(24.11),(forall (a e e1 e2 e3 e4 e5) (if (and (believe a e3)(causallyInvolved' e3 e e1) (believe a e4)(causallyInvolved' e4 e e2) (thinkOf' e5 a e)(etc)) (exists (e6 e7) (and (thinkOf' e6 a e7)(or' e7 e1 e2)(cause e5 e6))))),"If the agent believes that an eventuality e could be a partial cause for eventuality e1 or could be a partial cause of eventuality e2, this defeasibly will cause the agent to think of the disjunction of e1 and e2"
24,24.2,(24.12),(forall (e e1 e2 s) (iff (branch e e1 e2 s) (and (member e s)(member e1 s)(member e2 s) (or (or' e e1 e2)(or' e e2 e1))))),"e is a branch to e1 and e2 in s exactly when e, e1 and e2 are all members of s and e is a disjunction of e1 and e2"
24,24.2,(24.13),(forall (e e1 e2 s) (iff (branch e e1 e2 s)(branch e e2 e1 s))),Branch is symmetric in its middle two arguments
24,24.2,(24.14),(forall (e e1 e2) (iff (or' e e1 e2) (exists (e3 e4) (and (disjunct' e3 e1 e)(disjunct' e4 e2 e))))),"e3 is the relation of e1's being a disjunct in the disjunction e, and similarly for e4 and e2"
24,24.2,(24.15),(forall (r e1 e2 s) (if (eventualities s) (iff (csArc r e1 e2 s) (or (and (causallyInvolved' r e1 e2) (member e1 s)(member e2 s)) (exists (e3) (and (member e1 s)(member e2 s)(member e3 s) (branch e1 e2 e3 s) (disjunct' r e2 e1))))))),"A causal system arc is either a causally involved relation or a relation between a disjunction and one of its disjuncts, that is, in a branch"
24,24.2,(24.16),(forall (c) (iff (causalSystem c) (exists (v s) (and (componentsOf v c)(relationsOf s c) (eventualities v) (forall (r) (if (member r s) (exists (e1 e2) (csArc r e1 e2 v)))))))),"c is a causal system if and only if c is a composite entity whose components are eventualities, and whose relations are causal links among these eventualities"
24,24.2,(24.17),(forall (c v) (if (causalSystem c) (iff (eventualitiesOf v c) (componentsOf v c)))),We will call the components of a causal system its eventualities
24,24.2,(24.18),(forall (r e1 e2 c) (if (causalSystem c) (iff (csArc r e1 e2 c) (exists (v) (and (eventualitiesOf v c)(csArc r e1 e2 v)))))),It will be convenient to allow csArc to take causal systems as its fourth argument as well as sets of eventualities
24,24.2,(24.19),(forall (e1 e2 c) (iff (causallyLinked e1 e2 c) (exists (r v s) (and (eventualitiesOf v c)(relationsOf s c) (member r s) (or (csArc r e1 e2 c)(csArc r e2 e1 c) (exists (e3 c0 s0) (and (or (csArc' r e1 e3 c) (csArc' r e3 e1 c)) (deleteElt s0 s r) (causalSystem c0) (eventualitiesOf v c0) (relationsOf s0 c0) (causallyLinked e3 e2 c0)))))))),"Two eventualities e1 and e2 are causally linked in a causal system c if there is a chain of csArc relations in c between e1 and e2, regardless of direction"
24,24.2,(24.20),(forall (c1 e c) (iff (connSubCS c1 e c) (exists (v1 v) (and (eventualitiesOf v c)(eventualitiesOf v1 c1) (member e v)(member e v1) (forall (e1) (iff (member e1 v1) (and (member e1 v) (or (equal e1 e) (causallyLinked e e1 c))))))))),A connected subsystem c1 of a causal system c containing eventuality e
24,24.2,(24.21),(forall (c) (iff (connectedCausalSystem c) (exists (v s) (and (causalSystem c)(eventualitiesOf v c) (relationsOf s c) (forall (e1 e2) (if (and (member e1 v)(member e2 v)) (causallyLinked e1 e2 c))))))),A connected causal system is a causal system in which all eventualities are causally linked by relations in the causal system
24,24.2,(24.22),(forall (c) (iff (branchlessCausalSystem c) (exists (s1 s2) (and (causalSystem c)(eventualitiesOf v c) (relationsOf s c) (forall (r) (if (member r s) (exists (e1 e2) (and (member e1 v)(member e2 v) (causallyInvolved' r e1 e2))))))))),"A branchless causal system is a causal system all of whose arcs are causallyInvolved relations, rather than disjunctions"
24,24.2,(24.23),(forall (e c) (iff (isolated e c) (exists (v) (and (eventualitiesOf v c)(member e v) (not (exists (r e1) (or (csArc r e1 e c)(csArc r e e1 c)))))))),A node e is isolated with respect to a causal system c if there are no arcs into it and no arcs out of it
24,24.2,(24.24),(forall (e c) (iff (eventualityIn e c) (exists (v) (and (eventualitiesOf v c)(member e v))))),We will say that the members of the eventualities of a causal system are the eventualities in it
24,24.3,(24.25),(forall (c e1 r e2 c0) (iff (oneArcDiff c e1 r e2 c0) (exists (v0 s0 v s d) (and (causalSystem c0)(causalSystem c) (eventualitiesOf v0 s0)(relationsOf s0 c0) (eventualitiesOf v c)(relationsOf s c) (union v v0 d)(doubleton d e1 e2) (causallyInvolved' r e1 e2)(not (member r s0)) (addElt s s0 r))))),"The two causal systems c and c0 differ by only one arc, the arc r from e1 to e2. Causal system c will be the larger one, the one that is obtained by adding arc r to c0"
24,24.3,(24.26),(forall (c2 c0 d) (iff (delCSRel c2 c0 d) (exists (v0 s0 s2) (and (eventualitiesOf v0 c0)(relationsOf s0 c0) (eventualitiesOf v0 c2)(relationsOf s2 c2) (deleteElt s2 s0 d))))),Causal system c2 results from deleting the relation d from causal system c0
24,24.3,(24.27),(forall (c e0 e1 e2 c0) (iff (resolveBranch c e0 e1 e2 c0) (exists (d c2 c1 v0 v v1) (and (causalSystem c0)(causalSystem c) (eventualitiesOf v0 c0)(eventualitiesOf v c) (branch e0 e1 e2 v0)(disjunct' d e2 e0) (delCSRel c2 c0 d)(connSubCS c1 e2 c2) (or (and (causallyLinked e1 e2 c2)(null v1)) (and (not (causallyLinked e1 e2 c2)) (eventualitiesOf v1 c1))),Causal system c results from taking the branch from e0 to e1 and e2 in causal system c0 and resolving it to e1 (part 1 - complex definition continues)
24,24.3,(24.28),(forall (c1 c2) (iff (contigCS c1 c2) (or (exists (e1 r e2) (or (oneArcDiff c1 e1 r e2 c2) (oneArcDiff c2 e1 r e2 c1))) (exists (e0 e1 e2) (or (resolveBranch c1 e0 e1 e2 c2) (resolveBranch c2 e0 e1 e2 c1)))))),Two causal systems are contiguous if they stand in oneArcDiff or resolveBranch relations
24,24.4,(24.29),(forall (c1 c2) (iff (contigCS c1 c2)(contigCS c2 c1))),The contigCS relation is obviously symmetric
24,24.4,(24.30),(forall (c a) (iff (ecs c a) (exists (v s) (and (causalSystem c)(eventualitiesOf v c) (relationsOf s c) (forall (e) (if (member e v)(thinkOf a e))) (forall (r) (if (member r s) (or (thinkOf a r)(believe a r)))))))),"The agent a is thinking of every eventuality in the causal system, and the arcs in the causal system are either believed or in focus"
24,24.4,(24.31),(forall (b a c) (if (ecs c a) (iff (backgroundBeliefs b a) (exists (v s) (and (eventualitiesOf v c)(relationsOf s c) (forall (e1 e2) (if (and (member e1 b)(not' e2 e1)) (not (member e2 v)))) (forall (r e1 e2 e3) (if (and (causallyInvolved' r e1 e2) (not' e3 r)(member e3 b)) (not (member r s))))))))),b is the set of agent a's background beliefs - negations of background beliefs are never in the causal system
24,24.4,(24.32),(forall (s a) (iff (ecsSeq s a) (and (sequence s) (forall (c1) (if (inSeq c1 s)(ecs c1 a))) (forall (n n1 l c1 c2) (if (and (gt n 0)(length l s)(lt n l) (successor n1 n) (nth c1 n s)(nth c2 n1 s)) (contigCS c1 c2))) (exists (s0) (and (sequence s0) (forall (e1 n) (iff (nth e1 n s0) (exists (c1) (and (nth c1 n s) (ecs' e1 c1 a))))) (forall (n n1 l e1 e2) (if (and (gt n 0)(length l s0)(lt n l) (successor n1 n) (nth e1 n s0)(nth e2 n1 s0)) (change e1 e2)))))))),An envisioned causal system sequence is a sequence of envisioned causal systems in which successive causal systems are contiguous and linked by change-of-state relations
24,24.4,(24.33),(forall (e s a) (iff (envisionedEv e s a) (exists (c) (and (ecsSeq s a)(inSeq c s)(eventualityIn e c))))),An eventuality in any element of an envisioned causal system sequence is an envisioned eventuality
24,24.4,(24.34),(forall (a e1 e2) (iff (envisionFromTo a e1 e2) (exists (s) (and (ecsSeq s a)(first e1 s)(last e2 s))))),Envisioning a sequence from one causal system to another
24,24.4,(24.35),(forall (a e1) (iff (envisionFrom a e1) (exists (e2) (envisionFromTo a e1 e2)))),Less specific version - envisioning from a causal system
24,24.4,(24.36),(forall (a e2) (iff (envisionTo a e2) (exists (e1) (envisionFromTo a e1 e2)))),Less specific version - envisioning to a causal system
24,24.4,(24.37),(forall (a) (if (person a) (exists (s e1 c) (and (ecsSeq' e1 s a)(able a e1 c))))),People have an ability to envision causal system sequences
24,24.4,(24.38),(forall (s a) (if (and (ecsSeq s a) (forall (c v) (if (and (inSeq c s)(eventualitiesOf v c)) (exists (e) (and (member e v)(arg* x e)))))) (thinkAbout a x))),"If every element of an ecsSeq includes a property of x among its eventualities, then the agent is thinking about x"
24,24.5,(24.39),(forall (a c v s) (if (and (causalSystem c) (eventualitiesOf v c)(relationsOf s c)) (iff (believe a c) (and (believe a v)(believe a s))))),To believe a causal system is to believe the conjunction of the set of eventualities and the set of causallyInvolved relations that characterize the causal system
24,24.5,(24.40),(forall (a) (if (person a) (exists (s t) (and (ecsSeq s a)(during s t))))),Some envisionments are about events and states that happen in the real world at a particular time
24,24.5,(24.41),(forall (a) (if (person a) (exists (s) (and (ecsSeq s a) (forall (t) (not (during s t))))))),"Some envisionments are about fictional worlds, as in fiction and dreams, and have never happened and never will"
24,24.5,(24.42),(forall (a e d1 d2) (iff (changeGBel a e d1 d2) (exists (e1 e2) (and (gbel' e1 a e d1)(gbel' e2 a e d2) (nequal d1 d2)(change e1 e2))))),Agent a's belief in e changes from d1 to d2
24,24.5,(24.43),(forall (a e d1 d2 c v) (if (and (ecs c a)(eventualitiesOf v c)(member e v) (changeGBel a e d1 d2)(gt d1 d2)(etc)) (exists (d3 d4) (and (changeGBel a c d3 d4)(gt d3 d4))))),"Defeasibly, decreasing the belief in an element of a causal system causes a decrease in the belief in the causal system as a whole"
24,24.5,(24.44),(forall (a e d1 d2 c v) (if (and (ecs c a)(eventualitiesOf v c)(member e v) (changeGBel a e d1 d2)(lt d1 d2)(etc)) (exists (d3 d4) (and (changeGBel a c d3 d4)(lt d3 d4))))),"Defeasibly, increasing the belief in an element of a causal system causes an increase in the belief in the causal system as a whole"
24,24.5,(24.45),(forall (a r d1 d2 c s) (if (and (ecs c a)(relationsOf s c)(member r s) (changeGBel a r d1 d2)(gt d1 d2)(etc)) (exists (d3 d4) (and (changeGBel a c d3 d4)(gt d3 d4))))),"Defeasibly, decreasing the belief in a relation of a causal system causes a decrease in the belief in the causal system as a whole"
24,24.5,(24.46),(forall (a e d1 d2 c s) (if (and (ecs c a)(relationsOf s c)(member r s) (changeGBel a e d1 d2)(lt d1 d2)(etc)) (exists (d3 d4) (and (changeGBel a c d3 d4)(lt d3 d4))))),"Defeasibly, increasing the belief in a relation of a causal system causes an increase in the belief in the causal system as a whole"
24,24.5,(24.47),(forall (a c c0 e1 e2 r e3 e4 v0) (if (and (ecs' e3 c0 a)(ecs' e4 c a) (oneArcDiff c e1 r e2 c0) (eventualitiesOf v0 c0)(not (member e1 v0)) (believe a e1)(change' e0 e3 e4)(etc)) (exists (e) (and (changeGBel' e a c0 d1 d2)(gt d2 d1) (cause e0 e))))),"If there is a change from entertaining causal system c0 to entertaining causal system c, where c includes a new possible cause that is already believed, this defeasibly causes an increase in belief in c0"
24,24.5,(24.48),(forall (a c c0 e1 e2 r e3 e4 v0) (if (and (ecs' e3 c0 a)(ecs' e4 c a) (oneArcDiff c e1 r e2 c0)(member e1 v0) (eventualitiesOf v0 c0)(not (member e2 v0)) (believe a e2)(change' e0 e3 e4)(etc)) (exists (e) (and (changeGBel' e a c0 d1 d2)(gt d2 d1) (cause e0 e))))),There is a change in which the agent thinks of a new possible effect and already believes that to be true. This causes the agent's belief in the original causal system to increase
24,24.5,(24.49),(forall (a c c0 e1 e2 r e3 e4 v0) (if (and (ecs' e3 c0 a)(ecs' e4 c a) (oneArcDiff c e1 r e2 c0)(eventualitiesOf v0 c0) (member e1 v0)(not (member e2 v0)) (not' e5 e2)(believe a e5) (change' e0 e3 e4)(etc)) (exists (e) (and (changeGBel' e a c0 d1 d2)(lt d2 d1) (cause e0 e))))),"Predictions can also be falsified, and this decreases the degree of belief in the original causal system"
24,24.5,(24.50),(forall (c c0 c1 c2 v1 e0 e1 e2 e3 e4 e5 e6 e7 d) (if (and (ecs' e3 c0 a)(ecs' e4 c a) (resolveBranch c e0 e1 e2 c0) (disjunct' d e2 e0)(delCSRel c2 c0 d) (connSubCS c1 e2 c2)(eventualitiesOf v1 c1) (member e5 v1)(not' e6 e5)(believe a e6) (change' e7 e3 e4)(etc)) (exists (e) (and (changeGBel' e a c d1 d2)(gt d2 d1) (cause e7 e))))),"Suppose a causal system has a branch in it, and a false proposition is found in the connected subsystem of one of the disjuncts. Then defeasibly there is an increased graded belief in the causal system with that branch resolved to the other disjunct"
24,24.5,(24.51),(forall (a c t) (iff (cwu0 c a t) (exists (e1 v) (and (ecs' e1 c a)(atTime e1 t) (eventualitiesOf v c) (forall (e2) (if (and (eventuality e2) (perceive' e3 a e2)(atTime e3 t)) (member e2 v))))))),"If the causal system includes all the eventualities that the agent perceives and the causal system is believed, then the envisioned causal system is the agent's current world understanding at time t"
24,24.5,(24.52),(forall (c a) (iff (cwu c a)(exists (t) (and (cwu0 c a t)(Now t))))),"A two-argument version of the predicate, by stipulating that t is Now. This has the effect of anchoring the current world understanding to the same time as the rest of the axiom"
25,25.1,(25.1),(forall (a c) (if (and (agent a)(cwu c a)) (exists (e0 e e1) (and (able a e0 c)(explain' e0 a e e1))))),"For any agent with current world understanding c, there exist some eventualities that the agent is able to explain"
25,25.1,(25.2),(forall (a) (if (and (person a)(etc)) (exists (e e1)(explain a e e1)))),"Defeasibly, for any person, there are eventualities that they really do explain"
25,25.1,(25.3),(forall (e a c) (iff (and (mystery e a)(cwu c a)) (and (agent a)(eventuality e) (not (exists (e1 e0) (and (able a e0 c) (explain' e0 a e e1))))))),An eventuality is a mystery for an agent if the agent is not able to explain it within their current world understanding
25,25.1,(25.4),(forall (a) (if (person a) (exists (e) (mystery e a)))),"For any person, there are eventualities that are mysteries to them"
25,25.1,(25.5),(forall (a) (if (and (agent a) (etc)) (exists (e0 e e1) (and (goal e0 a)(explain' e0 a e e1))))),"Defeasibly, agents have goals to explain certain eventualities"
25,25.1,(25.6),(forall (a c) (if (and (agent a)(cwu c a)) (exists (e e1 e2 e3 e4) (and (explain' e3 a e e1)(explain' e4 a e e2) (nequal e1 e2)(possible e3 c)(possible e4 c))))),"For any agent, there exist eventualities that have multiple different possible explanations"
25,25.1,(25.7),(forall (a e e1 e2 d1 d2) (if (and (agent a)(explain a e e1)(explain a e e2) (gbel a e1 d1)(gbel a e2 d2)(gt d1 d2)) (betterExplanationFor e1 e2 e a))),One explanation is better than another for an agent if the agent has higher graded belief in it
25,25.1,(25.8),(forall (a) (if (and (agent a)(etc)) (exists (d) (and (knowledgeDomain d) (forall (e e1 e2) (if (and (member e1 d)(not (member e2 d)) (explain a e e1)(explain a e e2)) (betterExplanationFor e1 e2 e a))))))),"Defeasibly, agents have preferred knowledge domains such that explanations in those domains are better than explanations outside them"
25,25.1,(25.9),(forall (a e e1 s) (if (and (explain a e e1)(member e1 s) (forall (e2) (if (and (member e2 s)(explain a e e2) (nequal e1 e2)) (betterExplanationFor e1 e2 e a)))) (bestExplanationFor e1 e a s))),An explanation is the best in a set if it is better than all other explanations in that set
25,25.1,(25.10),(forall (a e e1 e3 e4 s) (if (and (bestExplanationFor' e3 e1 e a s)(believe a e) (forall (e2) (iff (member e2 s)(explain a e e2))) (cause' e4 e1 e)(believe' e5 a e4)(etc)) (cause e3 e5))),"Defeasibly, if an explanation is the best among all possible explanations, this causes the agent to believe that explanation causes the explained eventuality"
25,25.2,(25.11),(forall (a e e1) (if (and (explain a e e1)(etc)) (exists (e2 e3 e4 e5) (and (adoptGoalToExplain' e2 a e) (generateExplanations' e3 a e s) (assessExplanations' e4 a s e) (adoptExplanation' e5 a e1 e) (before e2 e3)(before e3 e4)(before e4 e5))))),"Defeasibly, the explanation process involves adopting a goal, generating candidates, assessing them, and adopting the best explanation, in that temporal order"
25,25.2,(25.12),(forall (a e) (iff (adoptGoalToExplain a e) (exists (e1 e2 e3) (and (changeTo e2)(goal' e2 e3 a) (explain' e3 a e e1))))),To adopt a goal to explain e is to change into a state where one has the goal of explaining e
25,25.2,(25.13),(forall (a e) (if (and (agent a)(learn a e)(not (predict a e))(etc)) (adoptGoalToExplain a e))),A common reason for adopting a goal to explain something is that it had not been predicted
25,25.2,(25.14),(forall (a e s) (iff (generateExplanations a e s) (and (thinkOf a s) (forall (e1) (if (member e1 s) (and (explain a e e1)(possible e1 c) (cwu c a))))))),"To generate candidate explanations is to think of a set of eventualities that possibly cause the effect, given one's current world understanding"
25,25.2,(25.15),(forall (e0 a s e) (iff (assessExplanations' e0 a s e) (forall (e2) (if (member e2 e0) (exists (e3 e4 e5 e6) (and (changeTo' e2 e3)(believe' e3 a e4) (betterExplanationFor' e4 e5 e6 e a))))))),To assess candidate explanations is to determine among various pairs which ones are better through belief formation about comparative quality
25,25.2,(25.16),(forall (a e1 e) (iff (adoptExplanation a e1 e) (exists (e2 e3) (and (changeTo e2)(believe' e2 a e3) (cause' e3 e1 e))))),To adopt e1 as an explanation for e is to come to believe that e1 is the cause of e
25,25.2,(25.17),(forall (a e1 e) (iff (rejectExplanation a e1 e) (exists (e2 e3 e4) (and (changeTo e2)(believe' e2 a e3)(not' e3 e4) (cause' e4 e1 e))))),To reject an explanation e1 for e is to change into a state where one believes that e1 does not cause e
25,25.2,(25.18),(forall (a e s e1 e2 e3) (if (and (agent a)(generateExplanations a e s) (adoptExplanation' e3 a e1 e)(member e1 s) (member e2 s)(nequal e2 e1)(etc)) (exists (e4) (and (rejectExplanation' e4 a e2 e)(cause e3 e4))))),"Defeasibly, adopting one explanation causes an agent to reject other explanations from the same generated set"
25,25.3,(25.19),(forall (a e) (iff (explanationFailure a e) (forall (e1 e2) (if (and (try a e2)(explain' e2 a e e1)) (fail a e2))))),An explanation failure occurs exactly when every explanation attempt fails
25,25.3,(25.20),(forall (a e s) (if (and (adoptGoalToExplain a e) (generateExplanations a e s)(null s)) (explanationFailure a e))),"If the agent adopts the goal to explain but generates no candidate explanations, there is an explanation failure"
25,25.3,(25.21),(forall (a e s) (if (and (adoptGoalToExplain a e) (generateExplanations a e s) (not (assessExplanations a s e))) (explanationFailure a e))),"If the agent generates candidates but does not assess them, there is an explanation failure"
25,25.3,(25.22),(forall (a e s) (if (and (adoptGoalToExplain a e) (generateExplanations a e s) (assessExplanations a s e) (not (adoptExplanation a e1 e))) (explanationFailure a e))),"If the agent generates and assesses candidates but does not adopt an explanation, there is an explanation failure"
26,26.1,(26.1),(forall (e0 a e t1 t0) (iff (expect' e0 a e t1 t0) (exists (e1 e2) (and (atTime' e1 e t1)(believe' e2 a e1) (atTime e2 t0)(before t0 t1)(gen e2 e0))))),"e0 is the eventuality of agent a, at time t0, expecting that e will happen or hold at time t1. The belief e2 that e will happen or hold at t1 constitutes the expectation"
26,26.1,(26.2),(forall (a e t1 t0) (iff (unexpect a e t1 t0) (exists (e1 e2) (and (atTime' e1 e t1)(believe' e2 a e1) (not (atTime e2 t0)))))),It is possible to fail to believe some event will occur at some future time - unexpect means this
26,26.1,(26.3),(forall (s a e t1 t0) (iff (expectationJustification s a e t1 t0) (exists (e0 e1 s1 e2) (and (expect' e0 a e t1 t0)(cwu0' e1 s a t0) (eventualitiesOf s1 s)(atTime' e2 e t1) (member e2 s1)(cause e1 e0))))),Agent a's current world understanding s at time t0 includes e being true at time t1. The fact e1 that s is the current world understanding causes the expectation e0
26,26.1,(26.4),(forall (a e t1) (iff (addExpectation a e t1 t0) (exists (s0 s1 e0 e1 t2) (and (ecs' e0 s0 a)(ecs' e1 s1 a) (not (expectationJustification s0 a e t1 t2)) (expectationJustification s1 a e t1 t0) (change e0 e1))))),To add a justified expectation e is to extend an envisioned causal system to the point where e is predicted
26,26.1,(26.5),(forall (a e t1) (iff (removeExpectation a e t1 t0) (exists (s0 s1 e0 e1 t2) (and (ecs' e0 s0 a)(ecs' e1 s1 a) (expectationJustification s0 a e t1 t2) (not (expectationJustification s1 a e t1 t0)) (change e0 e1))))),To remove a justified expectation is just the opposite - move from having justification to not having justification
26,26.1,(26.6),(forall (a) (if (person a) (exists (e0 c e t1 t0) (and (able a e0 c)(addExpectation' e0 a e t1 t0))))),People have an ability to add expectations
26,26.1,(26.7),(forall (a) (if (person a) (exists (e0 c e t1 t0) (and (able a e0 c)(removeExpectation' e0 a e t1 t0))))),People have an ability to remove expectations
26,26.1,(26.8),(forall (a e t1) (iff (expectationConfirmation a e t1) (exists (t0) (and (expect a e t1 t0)(atTime e t1))))),"When the future time of an expectation arrives, the expectation is confirmed if the expected event actually occurs at that time"
26,26.1,(26.9),(forall (a e t1) (iff (expectationViolation a e t1) (exists (t0) (and (expect a e t1 t0)(not (atTime e t1)))))),"When the future time of an expectation arrives, the expectation is violated if the expected event does not occur at that time"
27,27.1,(27.1),(forall (a b e) (iff (envisionMentalState a b e) (exists (s s1 x) (and (ecs s a)(thinkOf' e b x)(eventualitiesOf s1 s) (member e s1))))),"Agent a envisions agent b's mental state e if a envisions a causal system s, and if e is b's thinking of something x, and e is a member of s's set of eventualities"
27,27.1,(27.2),(forall (a b e) (if (and (person a)(person b)(etc)) (exists (e1 c) (and (able a e1 c)(envisionMentalState' e1 a b e))))),"People are defeasibly able to envision other people's mental states, subject to implicit constraint conditions"
27,27.1,(27.3),(forall (a b e) (iff (otherAgentReason a b e) (and (nequal a b)(envisionMentalState a b e)))),Other-agent reasoning is envisioning the mental state of someone other than the envisioning agent
27,27.1,(27.4),(forall (a b e) (iff (otherAgentReasonFail a b e) (exists (e1) (and (fail a e1)(otherAgentReason' e1 a b e))))),People sometimes fail to envision the mental state of other people
27,27.1,(27.5),(forall (a e) (iff (introspect a e)(envisionMentalState a a e))),Introspection happens when one envisions one's own mental states
27,27.1,(27.6),(forall (a e) (iff (introspectFail a e) (exists (e1) (and (fail a e1)(introspect' e1 a e))))),Introspection failure happens when an agent fails to introspect
27,27.1,(27.7),(forall (a b) (if (and (person a)(person b)) (exists (s s1 e x) (and (causalSystem s)(eventualitiesOf s1 s)(member e s1) (thinkOf' e b x)(believe a s))))),People have models of how people in general think - one agent has a belief in a causal system involving another agent's thinking
27,27.1,(27.8),(forall (a) (if (person a) (exists (g) (forall (b) (if (member b g) (exists (s s1 e x) (and (causalSystem s)(eventualitiesOf s1 s) (member e s1)(thinkOf' e b x) (believe a s)))))))),"More specifically, people have models of how members of certain groups think"
28,28.1,(28.1),(forall (e a) (if (goal e a)(and (eventuality e)(agent a)))),"If eventuality e is a goal of agent a, then e is an eventuality and a is an agent"
28,28.1,(28.2),(forall (e1 x) (if (p' e1 x) (exists (e2)(and (q' e2 x)(cause e1 e2))))),"Agents know facts about what causes what - if p holds of x in e1, then there exists e2 where q holds of x and e1 causes e2"
28,28.1,(28.3),(forall (e1 x) (if (p' e1 x) (exists (e2)(and (q' e2 x)(enable e1 e2))))),"Agents know facts about what enables what - if p holds of x in e1, then there exists e2 where q holds of x and e1 enables e2"
28,28.1,(28.4),(forall (a e1 e2) (if (and (goal e2 a)(cause e1 e2))(goal e1 a))),"If agent a has goal e2 and e1 causes e2, then a will also have e1 as a goal"
28,28.1,(28.5),(forall (a e0 e1 e2) (if (and (goal e2 a)(cause' e0 e1 e2)(believe a e0)) (goal e1 a))),"If a has goal e2 and believes e1 causes e2, then a will have e1 as a goal"
28,28.1,(28.6),(forall (a e0 e1 e2 g2) (if (and (goal' g2 e2 a)(cause' e0 e1 e2)(believe a e0)) (exists (g1)(and (goal' g1 e1 a)(cause g2 g1))))),"If agent a wants e2 and believes e1 causes e2, that wanting will cause a to want e1"
28,28.1,(28.7),(forall (a e0 e1 e2 g2) (if (and (goal' g2 e2 a)(cause' e0 e1 e2)(believe a e0)) (exists (g1) (and (goal' g1 e1 a)(cause g2 g1)(subgoal e1 e2))))),"If agent a wants e2 and believes e1 causes e2, then a will want e1 as a subgoal of e2"
28,28.1,(28.8),(forall (a e0 e1 e2 g2) (if (and (goal' g2 e2 a)(cause' e0 e1 e2)(believe a e0)(etc)) (exists (g1) (and (goal' g1 e1 a)(cause g2 g1)(subgoal e1 e2))))),"If agent a has a goal e2 and believes e1 causes e2, then defeasibly this wanting e2 will cause a to want e1 as a subgoal of e2"
28,28.1,(28.9),(forall (a e1 e2) (if (and (goal e2 a)(enable e1 e2))(goal e1 a))),"If agent a has goal e2 and e1 enables e2, then a will also have e1 as a goal"
28,28.1,(28.10),(forall (a e0 e1 e2) (if (and (goal e2 a)(enable' e0 e1 e2)(believe a e0)) (goal e1 a))),"If a has goal e2 and believes e1 enables e2, then a will have e1 as a goal"
28,28.1,(28.11),(forall (a e0 e1 e2 g2) (if (and (goal' g2 e2 a)(enable' e0 e1 e2)(believe a e0)) (exists (g1)(and (goal' g1 e1 a)(cause g2 g1))))),"If agent a wants e2 and believes e1 enables e2, that wanting will cause a to want e1"
28,28.1,(28.12),(forall (a e0 e1 e2 g2) (if (and (goal' g2 e2 a)(enable' e0 e1 e2)(believe a e0)) (exists (g1) (and (goal' g1 e1 a)(cause g2 g1)(subgoal e1 e2))))),"If g2 is a's having a goal e2 and a believes that e1 enables e2, then there will be a g1 that is a's having a goal e1, e1 will be a subgoal of e2, and a's having goal e2 causes a to have goal e1"
28,28.1,(28.13),(forall (e1 e2) (if (subgoal e1 e2) (exists (a e3 e4 e5 s) (and (goal e2 a)(goal e1 a) (causalComplex' e3 s e2)(member' e4 e1 s) (and' e5 e3 e4)(believe a e5))))),"The subgoal relation is a relation between two goals, and implies the agent's belief that the subgoal is in a causal complex for the goal"
28,28.1,(28.14),(forall (e1 e2 e3 a) (if (and (subgoal e1 e2)(subgoal e2 e3)) (subgoal e1 e3))),The subgoal relation is transitive
28,28.1,(28.15),(forall (e e1 a) (if (and (goal' e e1 a)(believe a e)(etc)) (Rexist e))),"If one believes he or she has a goal, then defeasibly he or she really does have the goal. We are usually pretty reliable about knowing what we want"
28,28.2,(28.16),(forall (e a) (iff (knowledgeGoal e a) (exists (e1) (and (goal e1 a)(know' e1 a e))))),"A knowledge goal is a goal of knowing something, because most actions have knowledge prerequisites"
28,28.2,(28.17),(forall (e a t) (iff (preservationGoal e a t) (exists (e1 t1) (and (goal e1 a)(during' e1 e t) (begins t1 t)(atTime e t1))))),"A preservation goal is a goal that some state that is true now remain true in the future, over some time period"
28,28.2,(28.18),(forall (e a t) (iff (preservationGoalViolation e a t) (exists (e1 t1) (and (preservationGoal e a t)(not' e1 e)(atTime e1 t1) (insideTime t1 t))))),It is possible for a preservation goal to be violated
28,28.2,(28.19),(forall (e a t) (iff (persistentGoal e a t) (exists (e1) (and (goal' e1 e a)(during e1 t))))),"A goal can be persistent in that it remains a goal even after it is achieved. The condition e1 is e's being a goal of agent a, and it holds all through time interval t"
